Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal;;Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal
brg180;102;131020;262570;213210;949330;1950;;;;;;;;
brg180;103;109730;296980;198740;973970;1950;;;;;;;;
brg180;104;136460;284510;213210;983540;1950;;;;;;;;
brg180;105;165840;234630;193280;988650;1950;;;;;;;;
brg180;106;138330;273510;198760;976080;1950;;;;;;;;
brg180;107;170270;235160;213210;1061270;1950;;;;;;;;
brg180;108;182510;280690;208740;986060;1950;;;;;;;;
brg180;109;150500;280660;197730;1006040;1950;;;;;;;;
brg180;110;116990;296510;197710;1022890;1950;;;;;;;;
brg180;111;162500;299970;198760;1029390;1950;;;;;;;;
brg180;112;128130;296070;198760;1023980;1950;;;;;;;;
brg180;113;130700;290540;200180;1033980;1950;;;;;;;;
brg180;114;131000;321510;208730;983950;1950;;;;;;;;
brg180;115;175430;266070;208710;1054920;1950;;;;;;;;
brg180;116;145370;274660;198760;1043480;1950;;;;;;;;
brg180;117;132930;272630;197710;1036860;1950;;;;;;;;
brg180;118;123630;290630;197740;1043480;1950;;;;;;;;
brg180;119;179380;304070;201210;1033480;1950;;;;;;;;
brg180;120;144110;317920;205680;1071390;1950;;;;;;;;
brg180;121;160170;257630;198760;1023500;1950;;;;;;;;
brg180;122;171440;268570;200180;993520;1950;;;;;;;;
brg180;123;164320;303570;207710;1013930;1950;;;;;;;;
brg180;124;138480;311040;203240;1104770;1950;;;;;;;;
brg180;125;136970;311540;205680;1103770;1950;;;;;;;;
brg180;126;129820;266950;206680;1033840;1950;;;;;;;;
brg180;127;127110;319070;188760;1061420;1950;;;;;;;;
brg180;128;141950;266540;183280;1035390;1950;;;;;;;;
brg180;129;158160;272010;200180;1086800;1950;;;;;;;;
brg180;130;170460;250040;208740;1075180;1950;;;;;;;;
brg180;131;127800;276510;193280;1065890;1950;;;;;;;;
brg180;132;150350;235630;200180;1091710;1950;;;;;;;;
brg180;133;108300;261890;201210;1054650;1950;;;;;;;;
brg180;134;178310;256570;187770;1036940;1950;;;;;;;;
brg180;135;113620;279860;188760;1023910;1950;;;;;;;;
brg180;136;147160;239010;200180;1093120;1950;;;;;;;;
brg180;137;158330;204570;201180;1093120;1950;;;;;;;;
brg180;138;193220;262480;198740;1023860;1950;;;;;;;;
brg180;139;143480;68120;193280;1061770;1950;;;;;;;;
brg180;140;169870;260690;188760;1090290;1950;;;;;;;;
brg180;141;160580;208510;181230;1077240;1950;;;;;;;;
brg180;142;165400;236600;208760;1094770;1950;;;;;;;;
brg180;143;110370;245780;200180;1131180;1950;;;;;;;;
brg180;144;161800;221010;196680;1044390;1950;;;;;;;;
brg180;145;139600;231100;188760;994860;1950;;;;;;;;
brg180;146;137280;267410;197710;1043890;1950;;;;;;;;
brg180;147;130430;296850;197740;1046360;1950;;;;;;;;
brg180;148;106840;248190;200180;1048890;1950;;;;;;;;
brg180;149;132520;264980;196680;1057860;1950;;;;;;;;
brg180;150;130420;274980;193280;993880;1950;;;;;;;;
brg180;151;126550;246060;198760;1011450;1950;;;;;;;;
brg180;152;145480;281980;198760;1000270;1950;;;;;;;;
brg180;153;146840;285890;207710;1030830;1950;;;;;;;;
brg180;154;189470;296570;203240;1026960;1950;;;;;;;;
brg180;155;151580;253500;191180;1054840;1950;;;;;;;;
brg180;156;148980;250690;197750;981770;1950;;;;;;;;
brg180;157;153230;236130;203240;989710;1950;;;;;;;;
brg180;158;125220;259570;198790;946450;1950;;;;;;;;
brg180;159;144000;221160;208720;979730;1950;;;;;;;;
brg180;160;166400;248070;191180;1067470;1950;;;;;;;;
brg180;161;148400;218130;207710;960240;1950;;;;;;;;
brg180;162;131060;245010;184270;992870;1950;;;;;;;;
brg180;163;155870;264510;197750;970220;1950;;;;;;;;
brg180;164;111780;271540;208790;1000200;1950;;;;;;;;
brg180;165;153630;216630;190180;1130090;1950;;;;;;;;
brg180;166;171460;259650;201180;1044830;1950;;;;;;;;
brg180;167;161580;293980;198740;1010180;1950;;;;;;;;
brg180;168;144500;271380;198780;1020180;1950;;;;;;;;
brg180;169;140020;246630;197750;916470;1950;;;;;;;;
brg180;170;136390;236750;181230;1063820;1950;;;;;;;;
brg180;171;105620;312920;208760;1030360;1950;;;;;;;;
brg180;172;181520;253980;206650;1040830;1950;;;;;;;;
brg180;173;161450;278360;197710;1040830;1950;;;;;;;;
brg180;174;169310;258980;197750;1053810;1950;;;;;;;;
